"key","source","target"
"boons.common.health.secondWind.Name","Second Wind","Second Wind"
"boons.common.health.whisperedLife.Description","<b>Health regenerates</b> over time","<b>Health regenerates</b> over time"
"boons.common.health.whisperedLife.Name","Whispered Life","Whispered Life"
"boons.common.ice.arcticTouch.Description","{0} <b>Chance</b> to inflict [!sIce]Freeze[/s] to non-boss enemy on Damage Dealt","{0} <b>Chance</b> to inflict [!sIce]Freeze[/s] to non-boss enemy on Damage Dealt"
"boons.common.ice.arcticTouch.Name","Arctic Touch","Arctic Touch"
"boons.common.ice.frigidAura.Description","Deal <b>Minor</b> [StatColdDamage] [!sIce]Ice Damage[/s] around you over time","Deal <b>Minor</b> [StatColdDamage] [!sIce]Ice Damage[/s] around you over time"
"boons.common.ice.frigidAura.Name","Frigid Aura","Frigid Aura"
"boons.common.ice.frostbite.Description","Increase [StatColdDamage] [!sIce]Freeze Duration[/s] by {0}","Increase [StatColdDamage] [!sIce]Freeze Duration[/s] by {0}"
"boons.common.ice.frostbite.Name","Frostbite","Frostbite"
"boons.common.ice.shatter.Description","{0} <b>Chance</b> to deal <b>Massive Damage</b> to [!sIce]Frozen[/s] enemy on Damage Dealt","{0} <b>Chance</b> to deal <b>Massive Damage</b> to [!sIce]Frozen[/s] enemy on Damage Dealt"
"boons.common.ice.shatter.Name","Shatter","Shatter"
"boons.common.lightning.chainLightning.Description","{0} <b>Chance for Lightning to chain to nearby enemies</b>","{0} <b>Chance for Lightning to chain to nearby enemies</b>"
"boons.common.lightning.chainLightning.Name","Chain Lightning","Chain Lightning"
"boons.common.lightning.cracklingAir.Description","{0} <b>Chance</b> to deal <b>Minor</b> [StatLightningDamage] [!sLightning]Lightning Damage[/s] around the enemy on Damage Dealt","{0} <b>Chance</b> to deal <b>Minor</b> [StatLightningDamage] [!sLightning]Lightning Damage[/s] around the enemy on Damage Dealt"
"boons.common.lightning.cracklingAir.Name","Crackling Air","Crackling Air"
"boons.common.lightning.electricShock.Description","Gain [StatLightningDamage] [!sLightning]Lightning[/s] Infusion","Gain [StatLightningDamage] [!sLightning]Lightning[/s] Infusion"
"boons.common.lightning.electricShock.Name","Electric Shock","Electric Shock"
"boons.common.lightning.staticCharge.Description","Deal <b>Minor</b> [StatLightningDamage] [!sLightning]Lightning Damage[/s] around you over time","Deal <b>Minor</b> [StatLightningDamage] [!sLightning]Lightning Damage[/s] around you over time"
"boons.common.lightning.staticCharge.Name","Static Charge","Static Charge"
"boons.common.lightning.staticOvercharge.Description","Increase [StatLightningDamage] [!sLightning]Lightning Damage[/s] dealt by <b>Static Charge Echo</b>","Increase [StatLightningDamage] [!sLightning]Lightning Damage[/s] dealt by <b>Static Charge Echo</b>"
"boons.common.lightning.staticOvercharge.Name","Static Overcharge","Static Overcharge"
"boons.common.luck.fatefulBlow.Description","{0} <b>Chance</b> to <b>execute</b> non-boss enemy on Damage Dealt","{0} <b>Chance</b> to <b>execute</b> non-boss enemy on Damage Dealt"
"boons.common.luck.fatefulBlow.Name","Fateful Blow","Fateful Blow"
"boons.common.luck.luckyCharm.Description","Gain an additional <b>random Echo</b>","Gain an additional <b>random Echo</b>"
"boons.common.luck.luckyCharm.Name","Lucky Charm","Lucky Charm"
"boons.common.plague.contagion.Description","<b>Plague Damage increased</b> by {0}","<b>Plague Damage increased</b> by {0}"
"boons.common.plague.contagion.Name","Contagion","Contagion"
"boons.common.plague.creepingPlague.Description","{0} <b>Chance</b> to deal <b>Great</b> [StatPlagueDamage] [!sPlague]Plague Damage[/s] around you on Damage Taken","{0} <b>Chance</b> to deal <b>Great</b> [StatPlagueDamage] [!sPlague]Plague Damage[/s] around you on Damage Taken"
"boons.common.plague.creepingPlague.Name","Creeping Plague","Creeping Plague"
"boons.common.plague.plagueShock.Description","Gain [StatPlagueDamage] [!sPlague]Plague[/s] Infusion","Gain [StatPlagueDamage] [!sPlague]Plague[/s] Infusion"
"boons.common.plague.plagueShock.Name","Plague Shock","Plague Shock"
"boons.common.plague.tornOutbreak.Description","{0} <b>Chance</b> to deal <b>Minor</b> [StatPlagueDamage] [!sPlague]Plague Damage[/s] around the enemy on Damage Dealt","{0} <b>Chance</b> to deal <b>Minor</b> [StatPlagueDamage] [!sPlague]Plague Damage[/s] around the enemy on Damage Dealt"
"boons.common.plague.tornOutbreak.Name","Torn Outbreak","Torn Outbreak"
"boons.common.punishment.ancientBlight.Description","Enemies take {0} more [StatElementalDamageTaken] <b>Elemental Damage</b>","Enemies take {0} more [StatElementalDamageTaken] <b>Elemental Damage</b>"
"boons.common.punishment.ancientBlight.Name","Ancient Blight","Ancient Blight"
"boons.common.punishment.knightsCharisma.Description","Enemies' <b>Health</b> drains continuously","Enemies' <b>Health</b> drains continuously"
"boons.common.punishment.knightsCharisma.Name","Knight's Charisma","Knight's Charisma"
"boons.common.punishment.sinkingSand.Description","Enemies' [StatMovementSpeed] <b>Movement Speed</b> reduced by {0}","Enemies' [StatMovementSpeed] <b>Movement Speed</b> reduced by {0}"
"boons.common.punishment.sinkingSand.Name","Sinking Sand","Sinking Sand"
"boons.common.punishment.weakeningCurse.Description","Enemies deal {0} less [StatDamage] <b>Damage</b>","Enemies deal {0} less [StatDamage] <b>Damage</b>"
"boons.common.punishment.weakeningCurse.Name","Weakening Curse","Weakening Curse"
"boons.common.rush.grittedTeeth.Description","[StatStaminaRegen] <b>Stamina Regeneration</b> increased by {0} for the first {1} seconds in a Chamber","[StatStaminaRegen] <b>Stamina Regeneration</b> increased by {0} for the first {1} seconds in a Chamber"
"boons.common.rush.grittedTeeth.Name","Gritted Teeth","Gritted Teeth"
"boons.common.rush.quickStrike.Description","[StatDamage] <b>Damage</b> increased by {1} for the first {0} seconds in a Chamber","[StatDamage] <b>Damage</b> increased by {1} for the first {0} seconds in a Chamber"
"boons.common.rush.quickStrike.Name","Quick Strike","Quick Strike"
"boons.common.rush.recklessConfidence.Description","[StatHealthRegen] <b>Regenerate Health</b> for the first {0} seconds in a Chamber","[StatHealthRegen] <b>Regenerate Health</b> for the first {0} seconds in a Chamber"
"boons.common.rush.recklessConfidence.Name","Reckless Confidence","Reckless Confidence"
"boons.common.rush.weaponsDrawn.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0} for the first {1} seconds in a Chamber","[StatFocusGain] <b>Focus Gain</b> increased by {0} for the first {1} seconds in a Chamber"
"boons.common.rush.weaponsDrawn.Name","Weapons Drawn","Weapons Drawn"
"boons.common.stamina.breathOfWind.Description","[StatStaminaRegen] <b>Stamina Regeneration</b> increased by {0}","[StatStaminaRegen] <b>Stamina Regeneration</b> increased by {0}"
"boons.common.stamina.breathOfWind.Name","Breath of Wind","Breath of Wind"
"boons.common.stamina.endurance.Description","[StatStaminaCost] <b>Stamina Cost</b> reduced by {0}","[StatStaminaCost] <b>Stamina Cost</b> reduced by {0}"
"boons.common.stamina.endurance.Name","Endurance","Endurance"
"boons.common.stamina.flushOfBattle.Description","<b>Stamina Recovery Speed</b> increased by {0}","<b>Stamina Recovery Speed</b> increased by {0}"
"boons.common.stamina.flushOfBattle.Name","Flush of Battle","Flush of Battle"
"boons.common.stamina.leavenedStep.Description","[StatMaxStamina] <b>Max Stamina</b> increased by {0}","[StatMaxStamina] <b>Max Stamina</b> increased by {0}"
"boons.common.stamina.leavenedStep.Name","Leavened Step","Leavened Step"
"boons.common.utility.chosenFate.Description","Skip to the next Chamber","Skip to the next Chamber"
"boons.common.utility.chosenFate.Name","Chosen Fate","Chosen Fate"
"boons.common.utility.increasedPickupRadius.Description","<b>Pickup Radius</b> increased by {0}","<b>Pickup Radius</b> increased by {0}"
"boons.common.utility.increasedPickupRadius.Name","Increased Pickup Radius","Increased Pickup Radius"
"boons.common.utility.pendingRespite.Description","The next Chamber will be the <b>Limnus</b>","The next Chamber will be the <b>Limnus</b>"
"boons.common.utility.pendingRespite.Name","Pending Respite","Pending Respite"
"boons.common.utility.rejuvenatingRestoration.Description","<b>Durability</b> of all equipped items increased by {0}","<b>Durability</b> of all equipped items increased by {0}"
"boons.common.utility.rejuvenatingRestoration.Name","Rejuvenating Restoration","Rejuvenating Restoration"
"boons.common.utility.restorativeMending.Description","<b>Durability</b> of all equipped items increased by {0}","<b>Durability</b> of all equipped items increased by {0}"
"boons.common.utility.restorativeMending.Name","Restorative Mending","Restorative Mending"
"boons.plagued.critical.blindJuggernaut.Description","[StatCritical] <b>Critical Damage</b> increased by {0}, but [StatStaminaRegen] <b>Stamina Regeneration</b> reduced by {1}","[StatCritical] <b>Critical Damage</b> increased by {0}, but [StatStaminaRegen] <b>Stamina Regeneration</b> reduced by {1}"
"boons.plagued.critical.blindJuggernaut.Name","Blind Juggernaut","Blind Juggernaut"
"boons.plagued.critical.brashOutburst.Description","[StatCritical] <b>Critical Damage</b> increased by {0}, but [StatDamage] <b>Damage</b> reduced by {1}","[StatCritical] <b>Critical Damage</b> increased by {0}, but [StatDamage] <b>Damage</b> reduced by {1}"
"boons.plagued.critical.brashOutburst.Name","Brash Outburst","Brash Outburst"
"boons.plagued.critical.darkPrecision.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0}, but take {1} more [StatDamageTaken] <b>Damage</b>","[StatCritical] <b>Critical Hit Chance</b> increased by {0}, but take {1} more [StatDamageTaken] <b>Damage</b>"
"boons.plagued.critical.darkPrecision.Name","Dark Precision","Dark Precision"
"boons.plagued.critical.righteousPenance.Description","[StatCritical] <b>Critical Hit Chance</b> doubled, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}","[StatCritical] <b>Critical Hit Chance</b> doubled, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}"
"boons.plagued.critical.righteousPenance.Name","Righteous Penance","Righteous Penance"
"boons.plagued.damage.bloodthirst.Description","[StatDamage] <b>Damage</b> increased by {0}, but take {1} more [StatDamageTaken] <b>Damage</b>","[StatDamage] <b>Damage</b> increased by {0}, but take {1} more [StatDamageTaken] <b>Damage</b>"
"boons.plagued.damage.bloodthirst.Name","Bloodthirst","Bloodthirst"
"boons.plagued.damage.cursedPower.Description","[StatDamage] <b>Damage</b> increased by {0}, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}","[StatDamage] <b>Damage</b> increased by {0}, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}"
"boons.plagued.damage.cursedPower.Name","Cursed Power","Cursed Power"
"boons.plagued.damage.infernalWrath.Description","[StatDamage] <b>Damage</b> increased by {0}, but take <b>continuous Damage</b>","[StatDamage] <b>Damage</b> increased by {0}, but take <b>continuous Damage</b>"
"boons.plagued.damage.infernalWrath.Name","Infernal Wrath","Infernal Wrath"
"boons.plagued.damage.sacrificialStrength.Description","[StatDamage] <b>Damage</b> increased by {0}, but [StatStaminaRegen] <b>Stamina Regeneration</b> reduced by {1}","[StatDamage] <b>Damage</b> increased by {0}, but [StatStaminaRegen] <b>Stamina Regeneration</b> reduced by {1}"
"boons.plagued.damage.sacrificialStrength.Name","Sacrificial Strength","Sacrificial Strength"
"boons.plagued.elemental.cursedFlame.Description","<b>Heat Damage</b> increased by {0}, but take {1} more <b>Damage</b>","<b>Heat Damage</b> increased by {0}, but take {1} more <b>Damage</b>"
"boons.plagued.elemental.cursedFlame.Name","Cursed Flame","Cursed Flame"
"boons.plagued.elemental.frozenStride.Description","<b>Cold Damage</b> increased by {0}, but take {1} more <b>Damage</b>","<b>Cold Damage</b> increased by {0}, but take {1} more <b>Damage</b>"
"boons.plagued.elemental.frozenStride.Name","Frozen Stride","Frozen Stride"
"boons.plagued.elemental.primevalFocus.Description","[StatElementalDamage] <b>Elemental Damage</b> increased by {0}, but [StatPhysicalDamage] <b>Physical Damage</b> reduced by {1}","[StatElementalDamage] <b>Elemental Damage</b> increased by {0}, but [StatPhysicalDamage] <b>Physical Damage</b> reduced by {1}"
"boons.plagued.elemental.primevalFocus.Name","Primeval Focus","Primeval Focus"
"boons.plagued.elemental.shockingAura.Description","<b>Electric Damage</b> increased by {0}, but take {1} more <b>Damage</b>","<b>Electric Damage</b> increased by {0}, but take {1} more <b>Damage</b>"
"boons.plagued.elemental.shockingAura.Name","Shocking Aura","Shocking Aura"
"boons.plagued.elemental.toxicAffinity.Description","<b>Plague Damage</b> increased by {0}, but take {1} more <b>Damage</b>","<b>Plague Damage</b> increased by {0}, but take {1} more <b>Damage</b>"
"boons.plagued.elemental.toxicAffinity.Name","Toxic Affinity","Toxic Affinity"
"boons.plagued.equipment.cursedLightness.Description","[StatWeight] <b>Weight</b> decreased by {0}, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}","[StatWeight] <b>Weight</b> decreased by {0}, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}"
"boons.plagued.equipment.cursedLightness.Name","Cursed Lightness","Cursed Lightness"
"boons.plagued.equipment.fleetAssault.Description","[StatMovementSpeed] <b>Movement Speed</b> and [StatAttackSpeed] <b>Attack Speed</b> increased by {0}, but [StatMaxFocus] <b>Focus</b> is removed","[StatMovementSpeed] <b>Movement Speed</b> and [StatAttackSpeed] <b>Attack Speed</b> increased by {0}, but [StatMaxFocus] <b>Focus</b> is removed"
"boons.plagued.equipment.fleetAssault.Name","Fleet Assault","Fleet Assault"
"boons.plagued.equipment.fragilePoise.Description","[StatPoiseDefense] <b>Poise Defense</b> increased by {0}, but [StatAttackSpeed] <b>Attack Speed</b> reduced by {1}","[StatPoiseDefense] <b>Poise Defense</b> increased by {0}, but [StatAttackSpeed] <b>Attack Speed</b> reduced by {1}"
"boons.plagued.equipment.fragilePoise.Name","Fragile Poise","Fragile Poise"
"boons.plagued.equipment.unstableReinforcement.Description","<b>Durability</b> of all equipment increased by {0}, but <b>Maximum Health</b> reduced by {1}","<b>Durability</b> of all equipment increased by {0}, but <b>Maximum Health</b> reduced by {1}"
"boons.plagued.equipment.unstableReinforcement.Name","Unstable Reinforcement","Unstable Reinforcement"
"boons.plagued.equipment.volatileArmor.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0}, but [StatStaminaCost] <b>Stamina Cost</b> increased by {1}","[StatDamageTaken] <b>Damage Resistance</b> increased by {0}, but [StatStaminaCost] <b>Stamina Cost</b> increased by {1}"
"boons.plagued.equipment.volatileArmor.Name","Volatile Armor","Volatile Armor"
"boons.plagued.fire.blazingCurse.Description","[StatFireDamage] [!sFire]Burn Damage[/s] increased by {0}, but [StatHealing]<b>Healing</b> is reduced by {1}","[StatFireDamage] [!sFire]Burn Damage[/s] increased by {0}, but [StatHealing]<b>Healing</b> is reduced by {1}"
"boons.plagued.fire.blazingCurse.Name","Blazing Curse","Blazing Curse"
"boons.plagued.fire.blindEruption.Description","Greatly increase <b>Chance</b> to trigger <b>Fire Burst Echo</b>, but [StatFocusGain] <b>Focus Gain</b> reduced by {0}","Greatly increase <b>Chance</b> to trigger <b>Fire Burst Echo</b>, but [StatFocusGain] <b>Focus Gain</b> reduced by {0}"
"boons.plagued.fire.blindEruption.Name","Blind Eruption","Blind Eruption"
"boons.plagued.fire.cursedEmber.Description","[StatFireDamage] [!sFire]Fire Damage[/s] increased by {0}, but take {1} more [StatDamageTaken] <b>Damage</b> from all sources","[StatFireDamage] [!sFire]Fire Damage[/s] increased by {0}, but take {1} more [StatDamageTaken] <b>Damage</b> from all sources"
"boons.plagued.fire.cursedEmber.Name","Cursed Ember","Cursed Ember"
"boons.plagued.fire.volcanicRage.Description","[StatFireDamage] [!sFire]Burn Buildup[/s] increased by {0}, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}","[StatFireDamage] [!sFire]Burn Buildup[/s] increased by {0}, but [StatMaxHealth] <b>Maximum Health</b> reduced by {1}"
"boons.plagued.fire.volcanicRage.Name","Volcanic Rage","Volcanic Rage"
"boons.plagued.focus.bitterPromise.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0}, but take {1} [StatPhysicalDamage] [!sPhysical]Damage[/s] on Focus Use","[StatFocusGain] <b>Focus Gain</b> increased by {0}, but take {1} [StatPhysicalDamage] [!sPhysical]Damage[/s] on Focus Use"
"boons.plagued.focus.bitterPromise.Name","Bitter Promise","Bitter Promise"
"boons.plagued.focus.cursedFocus.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0}, but [StatMaxHealth] <b>Max Health</b> reduced by {1}","[StatFocusGain] <b>Focus Gain</b> increased by {0}, but [StatMaxHealth] <b>Max Health</b> reduced by {1}"
"boons.plagued.focus.cursedFocus.Name","Cursed Focus","Cursed Focus"
"boons.plagued.focus.darkPact.Description","Rune Attacks consume all <b>Focus</b>, dealing <b>damage proportional to the Focus consumed</b>, but reduce maximum <b>Focus</b> by {0}","Rune Attacks consume all <b>Focus</b>, dealing <b>damage proportional to the Focus consumed</b>, but reduce maximum <b>Focus</b> by {0}"
"boons.plagued.focus.darkPact.Name","Dark Pact","Dark Pact"
"boons.plagued.focus.warriorsBargain.Description","[StatMaxFocus] <b>Max Focus</b> increased by {0}, but [StatFocusCost] <b>Focus Cost</b> increased by {1}","[StatMaxFocus] <b>Max Focus</b> increased by {0}, but [StatFocusCost] <b>Focus Cost</b> increased by {1}"
"boons.plagued.focus.warriorsBargain.Name","Warrior's Bargain","Warrior's Bargain"
"boons.plagued.health.bloodPact.Description","[StatMaxHealth] <b>Max Health</b> increased by {0}, but [StatDamage] <b>Damage</b> reduced by {1}","[StatMaxHealth] <b>Max Health</b> increased by {0}, but [StatDamage] <b>Damage</b> reduced by {1}"
"boons.plagued.health.bloodPact.Name","Blood Pact","Blood Pact"
"boons.plagued.health.cursedFeast.Description","<b>Food Cooldown</b> reduced by {0}, but <b>Healing Effects</b> reduced by {1}","<b>Food Cooldown</b> reduced by {0}, but <b>Healing Effects</b> reduced by {1}"
"boons.plagued.health.cursedFeast.Name","Cursed Feast","Cursed Feast"
"boons.plagued.health.cursedResurrection.Description","<b>Revive</b> once after being killed with {0} [StatHealth] <b>Health</b>, but [StatMaxHealth] <b>Max Health</b> reduced by {1}","<b>Revive</b> once after being killed with {0} [StatHealth] <b>Health</b>, but [StatMaxHealth] <b>Max Health</b> reduced by {1}"
"boons.plagued.health.cursedResurrection.Name","Cursed Resurrection","Cursed Resurrection"
"boons.plagued.health.insidiousLeech.Description","Gain {0} [StatLifesteal] <b>Lifesteal</b>, but [StatMaxHealth] <b>Max Health</b> reduced by {1}","Gain {0} [StatLifesteal] <b>Lifesteal</b>, but [StatMaxHealth] <b>Max Health</b> reduced by {1}"
"boons.plagued.health.insidiousLeech.Name","Insidious Leech","Insidious Leech"
"boons.plagued.health.runicSacrifice.Description","Use <b>Health</b> instead of <b>Focus</b> for Rune Attacks","Use <b>Health</b> instead of <b>Focus</b> for Rune Attacks"
"boons.plagued.health.runicSacrifice.Name","Runic Sacrifice","Runic Sacrifice"
"boons.plagued.health.seethingVitality.Description","Regenerate {0} <b>Health</b> per second, but take {1} more <b>Damage</b>","Regenerate {0} <b>Health</b> per second, but take {1} more <b>Damage</b>"
"boons.plagued.health.seethingVitality.Name","Seething Vitality","Seething Vitality"
