"key","source","target"
"worlds.isolaSacra.theBlackTrench.northWestWhisper.name","The Depths","The Depths"
"worlds.isolaSacra.theBlackTrench.shrineWhisper.name","Fungal Shrine","Fungal Shrine"
"worlds.isolaSacra.theHuntersVale.name","The Hunter's Vale","The Hunter's Vale"
"worlds.isolaSacra.theManor.name","The Manor","The Manor"
"worlds.isolaSacra.theNamelessPass.cavernWhisper.name","Shrouded Cavern","Shrouded Cavern"
"worlds.isolaSacra.theNamelessPass.cerimChamberWhisper.name","Cerim Chamber","Cerim Chamber"
"worlds.isolaSacra.theNamelessPass.entranceWhisper.name","Ashen Road","Ashen Road"
"worlds.isolaSacra.theNamelessPass.firepitWhisper.name","The Cauldron","The Cauldron"
"worlds.isolaSacra.theNamelessPass.mountianGateWhisper.name","Mountain Gate","Mountain Gate"
"worlds.isolaSacra.theNamelessPass.name","Nameless Pass","Nameless Pass"
"worlds.isolaSacra.theNamelessPass.quarryDungeonWhisper.name","Quarry Dungeon","Quarry Dungeon"
"worlds.isolaSacra.theNamelessPass.quarryElevatorWhisper.name","Quarry Elevator","Quarry Elevator"
"worlds.isolaSacra.theShallows.name","The Shallows","The Shallows"
"worlds.isolaSacra.theShallows.whisper.name","Saltborn Tower","Saltborn Tower"
