"key","source","target"
"enchantments.dealDamageOnDamageTaken.Description","Deal {0} [StatPhysicalDamage] [!sPhysical]Damage[/s] on Damage Taken","إلحاق {0} [StatPhysicalDamage] [!sPhysical]ضرر[/s] عند تلقي الضرر"
"enchantments.dealDamageOnDodged.Description","Deal {0} [StatPhysicalDamage] [!sPhysical]Damage[/s] on Damage Dodged","إلحاق {0} [StatPhysicalDamage] [!sPhysical]ضرر[/s] عند تفادي الضرر"
"enchantments.dealDamageOnParry.Description","Deal {0} [StatPhysicalDamage] [!sPhysical]Damage[/s] on Parry","إلحاق {0} [StatPhysicalDamage] [!sPhysical]ضرر[/s] عند الصد المتقن"
"enchantments.dealDamageOnStagger.Description","Deal {0} [StatPhysicalDamage] [!sPhysical]Damage[/s] on Staggering an Enemy","إلحاق {0} [StatPhysicalDamage] [!sPhysical]ضرر[/s] عند ترنيح العدو"
"enchantments.dealElectricDamageOnBlock.Description","Deal {0} [StatLightningDamage] [!sLightning]Lightning Damage[/s] on Block","إلحاق {0} [StatLightningDamage] [!sLightning]ضرر برق[/s] عند الصد"
"enchantments.dealFireDamageWhileBlocking.Description","Deal {0} [StatFireDamage] [!sFire]Fire Damage[/s] while Blocking","إلحاق {0} [StatFireDamage] [!sFire]ضرر نار[/s] أثناء الصد"
"enchantments.dealHeatDamageOnBlock.Description","Deal {0} [StatFireDamage] [!sFire]Fire Damage[/s] on Block","إلحاق {0} [StatFireDamage] [!sFire]ضرر نار[/s] عند الصد"
"enchantments.dealHeatDamageOnParry.Description","Deal {0} [StatFireDamage] [!sFire]Fire Damage[/s] on Parry","إلحاق {0} [StatFireDamage] [!sFire]ضرر نار[/s] عند الصد المتقن"
"enchantments.dealHeatDamageOnRuneAttack.Description","Deal {0} [StatFireDamage] [!sFire]Fire Damage[/s] on Rune Attack","إلحاق {0} [StatFireDamage] [!sFire]ضرر نار[/s] عند هجوم الرون"
"enchantments.dealIceDamageWhileBlocking.Description","Deal {0} [StatColdDamage] [!sIce]Ice Damage[/s] while Blocking","إلحاق {0} [StatColdDamage] [!sIce]ضرر جليد[/s] أثناء الصد"
"enchantments.dealLightningDamageWhileBlocking.Description","Deal {0} [StatLightningDamage] [!sLightning]Lightning Damage[/s] while Blocking","إلحاق {0} [StatLightningDamage] [!sLightning]ضرر برق[/s] أثناء الصد"
"enchantments.dealPlagueDamageOnBlock.Description","Deal {0} [StatPlagueDamage] [!sPlague]Plague Damage[/s] on Block","إلحاق {0} [StatPlagueDamage] [!sPlague]ضرر وباء[/s] عند الصد"
"enchantments.dealPlagueDamageWhileBlocking.Description","Deal {0} [StatPlagueDamage] [!sPlague]Plague Damage[/s] while Blocking","إلحاق {0} [StatPlagueDamage] [!sPlague]ضرر وباء[/s] أثناء الصد"
"enchantments.delayedHealing.Description","<b>Food Healing</b> is applied over time","يُطبق <b>شفاء الطعام</b> بمرور الوقت"
"enchantments.dodgeStaminaCostDecreased.Description","[StatStaminaCost] <b>Dodge Stamina Cost</b> reduced by {0}","[StatStaminaCost] تقليل <b>استهلاك التحمل للتفادي</b> بمقدار {0}"
"enchantments.dodgeStaminaCostDecreasedAtLowHealth.Description","[StatStaminaCost] <b>Dodge Stamina Cost</b> reduced by {0} at Low Health","[StatStaminaCost] تقليل <b>استهلاك التحمل للتفادي</b> بمقدار {0} عند انخفاض الصحة"
"enchantments.dodgeStaminaCostIncreased.Description","[StatStaminaCost] <b>Dodge Stamina Cost</b> increased by {0}","[StatStaminaCost] زيادة <b>استهلاك التحمل للتفادي</b> بمقدار {0}"
"enchantments.durabilityIncreased.Description","[StatDurability] <b>Durability</b> increased by {0}","[StatDurability] زيادة <b>المتانة</b> بمقدار {0}"
"enchantments.elementalDamageTakenDecreased.Description","[StatElementalDamageTaken] <b>Elemental Resistance</b> increased by {0}","[StatElementalDamageTaken] زيادة <b>المقاومة العنصرية</b> بمقدار {0}"
"enchantments.enchantmentPowerIncreasedAtFullFocus.Description","[StatEnchantmentPower] <b>Enchantment Power</b> increased by {0} at Full Focus","[StatEnchantmentPower] زيادة <b>قوة التعزيز السحري</b> بمقدار {0} عند اكتمال التركيز"
"enchantments.enchantmentPowerIncreasedAtFullHealth.Description","[StatEnchantmentPower] <b>Enchantment Power</b> increased by {0} at Full Health","[StatEnchantmentPower] زيادة <b>قوة التعزيز السحري</b> بمقدار {0} عند اكتمال الصحة"
"enchantments.enchantmentPowerIncreasedAtLowHealth.Description","[StatEnchantmentPower] <b>Enchantment Power</b> increased by {0} at Low Health","[StatEnchantmentPower] زيادة <b>قوة التعزيز السحري</b> بمقدار {0} عند انخفاض الصحة"
"enchantments.enchantmentPowerIncreasedIfHaveBarrier.Description","[StatEnchantmentPower] <b>Enchantment Power</b> increased by {0} if have Barrier","[StatEnchantmentPower] زيادة <b>قوة التعزيز السحري</b> بمقدار {0} عند وجود حاجز"
"enchantments.enchantmentPowerIncreasedIfOnlyElementalGem.Description","[StatEnchantmentPower] <b>Enchantment Power</b> increased by {0} if it's the only elemental Gem","[StatEnchantmentPower] زيادة <b>قوة التعزيز السحري</b> بمقدار {0} إذا كانت الجوهرة العنصرية الوحيدة"
"enchantments.endlessClimbing.Description","<b>Endless Climbing</b>","<b>تسلق لا نهائي</b>"
"enchantments.enemyArmorDecreasedAfterFrost.Description","[!sIce]Frozen[/s] Enemy [StatArmor] <b>Armor</b> reduced by {0}","انخفاض [StatArmor] <b>درع</b> العدو [!sIce]المتجمد[/s] بمقدار {0}"
"enchantments.enemyStaggerResistanceDecreasedAfterInfection.Description","[!sPlague]Infected[/s] Enemy [StatStaggerResistance] <b>Stagger Resistance</b> reduced by {0}","انخفاض [StatStaggerResistance] <b>مقاومة ترنح</b> العدو [!sPlague]المصاب بالعدوى[/s] بمقدار {0}"
"enchantments.equipLoadDecreased.Description","[StatEquipLoad] <b>Equip Load</b> reduced by {0}","[StatEquipLoad] تقليل <b>حمولة العتاد</b> بمقدار {0}"
"enchantments.equipLoadIncreased.Description","[StatEquipLoad] <b>Equip Load</b> increased by {0}","[StatEquipLoad] زيادة <b>حمولة العتاد</b> بمقدار {0}"
"enchantments.executeAgainstInfectedLowHealth.Description","Execute [!sPlague]Infected[/s] Low Health Enemies on Damage Dealt","إعدام الأعداء [!sPlague]المصابين بالعدوى[/s] منخفضي الصحة عند إلحاق الضرر"
"enchantments.experienceGainIncreased.Description","[StatExperience] <b>Experience Gain</b> increased by {0}","[StatExperience] زيادة <b>اكتساب الخبرة</b> بمقدار {0}"
"enchantments.fireDamageIncreased.Description","[StatFireDamage] [!sFire]Fire Damage[/s] increased by {0}","[StatFireDamage] زيادة [!sFire]ضرر النار[/s] بمقدار {0}"
"enchantments.fireDamageOverride.Description","Gain [StatFireDamage] [!sFire]Fire[/s] Infusion","اكتساب تضمين [StatFireDamage] [!sFire]النار[/s]"
"enchantments.fireResistanceIncreased.Description","[StatFireArmor] <b>Fire Resistance</b> increased by {0}","[StatFireArmor] زيادة <b>مقاومة النار</b> بمقدار {0}"
"enchantments.focusCostDecreased.Description","[StatFocusGain] <b>Focus Cost</b> reduced by {0}","[StatFocusGain] تقليل <b>تكلفة التركيز</b> بمقدار {0}"
"enchantments.focusCostDecreasedAfterRuneAttack.Description","[StatFocusCost] <b>Focus Cost</b> reduced by {0} for {1} seconds after Damage Dealt by Rune Attack","[StatFocusCost] تقليل <b>تكلفة التركيز</b> بمقدار {0} لمدة {1} ثوانٍ بعد إلحاق ضرر بهجوم الرون"
"enchantments.focusCostDecreasedAfterStagger.Description","[StatFocusCost] <b>Focus Cost</b> reduced by {0} for {1} seconds after Staggering an Enemy","[StatFocusCost] تقليل <b>تكلفة التركيز</b> بمقدار {0} لمدة {1} ثوانٍ بعد ترنيح العدو"
"enchantments.focusCostDecreasedAtFullFocus.Description","[StatFocusGain] <b>Focus Cost</b> reduced by {0} at Full Focus","[StatFocusGain] تقليل <b>تكلفة التركيز</b> بمقدار {0} عند اكتمال التركيز"
"enchantments.focusCostDecreasedAtLowHealth.Description","[StatFocusGain] <b>Focus Cost</b> reduced by {0} at Low Health","[StatFocusGain] تقليل <b>تكلفة التركيز</b> بمقدار {0} عند انخفاض الصحة"
"enchantments.focusCostIncreased.Description","[StatFocusGain] <b>Focus Cost</b> increased by {0}","[StatFocusGain] زيادة <b>تكلفة التركيز</b> بمقدار {0}"
"enchantments.focusDrainIncreasedInCombat.Description","[StatFocusRegen] <b>Drain Focus</b> in Combat","[StatFocusRegen] <b>استنزاف التركيز</b> أثناء القتال"
"enchantments.focusGainDecreased.Description","[StatFocusGain] <b>Focus Gain</b> reduced by {0}","[StatFocusGain] تقليل <b>اكتساب التركيز</b> بمقدار {0}"
"enchantments.focusGainIncreased.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0}","[StatFocusGain] زيادة <b>اكتساب التركيز</b> بمقدار {0}"
"enchantments.focusGainScalesWithDurability.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0} of <b>Current Durability</b>","[StatFocusGain] زيادة <b>اكتساب التركيز</b> بمقدار {0} من <b>المتانة الحالية</b>"
"enchantments.focusRegenIncreased.Description","Gain {0} [StatFocusRegen] <b>Focus Regeneration</b>","اكتساب {0} [StatFocusRegen] <b>تجدد التركيز</b>"
"enchantments.frostBuildupIncreased.Description","[StatColdDamage] [!sIce]Frost Buildup[/s] increased by {0}","[StatColdDamage] زيادة [!sIce]تراكم الصقيع[/s] بمقدار {0}"
"enchantments.gainBarrierOnConsumeFood.Description","Gain {0} [StatBarrier] <b>Barrier</b> on Consuming Food","اكتساب {0} [StatBarrier] <b>حاجز</b> عند تناول الطعام"
"enchantments.gainBarrierOnDodged.Description","Gain {0} [StatBarrier] <b>Barrier</b> on Damage Dodged","اكتساب {0} [StatBarrier] <b>حاجز</b> عند تفادي الضرر"
"enchantments.gainBarrierOnKill.Description","Gain {0} [StatBarrier] <b>Barrier</b> on Kill","اكتساب {0} [StatBarrier] <b>حاجز</b> عند القتل"
"enchantments.gainBarrierOnParry.Description","Gain {0} [StatBarrier] <b>Barrier</b> on Parry","اكتساب {0} [StatBarrier] <b>حاجز</b> عند الصد المتقن"
"enchantments.gainBarrierOutOfCombat.Description","Gain {0} [StatBarrier] <b>Barrier</b> out of Combat","اكتساب {0} [StatBarrier] <b>حاجز</b> خارج القتال"
"enchantments.gainFocusOnBackstab.Description","Gain {0} [StatFocus] <b>Focus</b> on Backstab","اكتساب {0} [StatFocus] <b>تركيز</b> عند الطعنة الخلفية"
"enchantments.gainFocusOnBlock.Description","Gain {0} [StatFocus] <b>Focus</b> on Block","اكتساب {0} [StatFocus] <b>تركيز</b> عند الصد"
"enchantments.gainFocusOnBuildup.Description","Gain {0} [StatFocus] <b>Focus</b> on inflicting Any Status","اكتساب {0} [StatFocus] <b>تركيز</b> عند إلحاق أي حالة"
"enchantments.gainFocusOnDodged.Description","Gain {0} [StatFocus] <b>Focus</b> on Damage Dodged","اكتساب {0} [StatFocus] <b>تركيز</b> عند تفادي الضرر"
"enchantments.gainFocusOnFatality.Description","Gain {0} [StatFocus] <b>Focus</b> on Fatality","اكتساب {0} [StatFocus] <b>تركيز</b> عند الضربة القاضية"
"enchantments.gainFocusOnKill.Description","Gain {0} [StatFocus] <b>Focus</b> on Kill","اكتساب {0} [StatFocus] <b>تركيز</b> عند القتل"
"enchantments.gainFocusOnParry.Description","Gain {0} [StatFocus] <b>Focus</b> on Parry","اكتساب {0} [StatFocus] <b>تركيز</b> عند الصد المتقن"
"enchantments.gainFocusOnStagger.Description","Gain {0} [StatFocus] <b>Focus</b> on Staggering an Enemy","اكتساب {0} [StatFocus] <b>تركيز</b> عند ترنيح العدو"
"enchantments.gainHealthForFocusSpent.Description","Gain [StatHealth] <b>Health</b> equal to {0} of Focus Spent","اكتساب [StatHealth] <b>صحة</b> تعادل {0} من التركيز المستهلك"
"enchantments.gainHealthOnBackstab.Description","Gain {0} [StatHealth] <b>Health</b> on Backstab","اكتساب {0} [StatHealth] <b>صحة</b> عند الطعنة الخلفية"
"enchantments.gainHealthOnChargedAttack.Description","Gain {0} [StatHealth] <b>Health</b> on Charged Attack","اكتساب {0} [StatHealth] <b>صحة</b> عند الهجوم المشحون"
"enchantments.gainHealthOnDamageDealtAgainstFrozen.Description","Gain {0} [StatHealth] <b>Health</b> on Damage Dealt against [!sIce]Frozen[/s] Enemies","اكتساب {0} [StatHealth] <b>صحة</b> عند إلحاق ضرر ضد الأعداء [!sIce]المتجمدين[/s]"
"enchantments.gainHealthOnDamageDealtAtLowHealth.Description","Gain {0} [StatHealth] <b>Health</b> on Damage Dealt at Low Health","اكتساب {0} [StatHealth] <b>صحة</b> عند إلحاق ضرر عند انخفاض الصحة"
"enchantments.gainHealthOnDodged.Description","Gain {0} [StatHealth] <b>Health</b> on Damage Dodged","اكتساب {0} [StatHealth] <b>صحة</b> عند تفادي الضرر"
"enchantments.gainHealthOnFatality.Description","Gain {0} [StatHealth] <b>Health</b> on Fatality","اكتساب {0} [StatHealth] <b>صحة</b> عند الضربة القاضية"
